year,month,day,weight,flag,station,co2
1958,3,29,4,0,MLO,316.1
1958,4,5,6,0,MLO,317.3
1958,4,12,4,0,MLO,317.6
1958,4,19,6,0,MLO,317.5
1958,4,26,2,0,MLO,316.4
1958,5,3,6,0,MLO,316.9
1958,5,17,1,0,MLO,317.5
1958,5,24,5,0,MLO,317.9
1958,7,5,2,0,MLO,315.8
1958,7,12,4,0,MLO,315.8
1958,7,19,4,0,MLO,315.4
1958,7,26,7,0,MLO,315.5
1958,8,2,3,0,MLO,315.6
1958,8,9,4,0,MLO,315.1
1958,8,16,3,0,MLO,315.0
1958,8,30,5,0,MLO,314.1
1958,9,6,1,0,MLO,313.5
1958,11,8,4,0,MLO,313.0
1958,11,15,7,0,MLO,313.2
1958,11,22,5,0,MLO,313.5
1958,11,29,7,0,MLO,314.0
1958,12,6,6,0,MLO,314.5
1958,12,13,7,0,MLO,314.4
1958,12,20,4,0,MLO,314.7
1958,12,27,2,0,MLO,315.2
1959,1,3,3,0,MLO,315.2
1959,1,10,7,0,MLO,315.5
1959,1,17,7,0,MLO,315.6
1959,1,24,5,0,MLO,315.8
1959,1,31,2,0,MLO,315.4
1959,2,14,1,0,MLO,316.9
1959,2,21,7,0,MLO,316.6
1959,2,28,3,0,MLO,316.6
1959,3,7,7,0,MLO,316.8
1959,3,21,4,0,MLO,316.7
1959,3,28,6,0,MLO,316.7
1959,4,4,7,0,MLO,317.7
1959,4,11,7,0,MLO,317.1
1959,4,18,6,0,MLO,317.6
1959,4,25,5,0,MLO,318.3
1959,5,2,3,0,MLO,318.2
1959,5,9,1,0,MLO,318.7
1959,5,16,7,0,MLO,318.0
1959,5,23,5,0,MLO,318.4
1959,6,6,7,0,MLO,318.5
1959,6,13,5,0,MLO,318.1
1959,6,20,5,0,MLO,317.8
1959,6,27,2,0,MLO,317.7
1959,7,4,7,0,MLO,316.8
1959,7,11,7,0,MLO,316.8
1959,7,18,5,0,MLO,316.4
1959,7,25,4,0,MLO,316.1
1959,8,1,7,0,MLO,315.6
1959,8,8,3,0,MLO,314.9
1959,8,22,1,0,MLO,315.0
1959,8,29,4,0,MLO,314.1
1959,9,5,5,0,MLO,314.4
1959,9,12,3,0,MLO,313.9
1959,9,19,5,0,MLO,313.5
1959,9,26,4,0,MLO,313.5
1959,10,3,6,0,MLO,313.0
1959,10,10,3,0,MLO,313.1
1959,10,17,7,0,MLO,313.4
1959,10,24,7,0,MLO,313.4
1959,10,31,7,0,MLO,314.1
1959,11,7,2,0,MLO,314.4
1959,11,14,5,0,MLO,314.8
1959,11,21,6,0,MLO,315.2
1959,11,28,5,0,MLO,315.1
1959,12,5,4,0,MLO,315.0
1959,12,12,5,0,MLO,315.6
1959,12,19,6,0,MLO,315.8
1959,12,26,6,0,MLO,315.7
1960,1,2,4,0,MLO,315.7
1960,1,9,5,0,MLO,316.4
1960,1,16,6,0,MLO,316.7
1960,1,23,5,0,MLO,316.5
1960,1,30,6,0,MLO,316.6
1960,2,6,2,0,MLO,316.6
1960,2,13,6,0,MLO,316.9
1960,2,20,4,0,MLO,317.4
1960,2,27,5,0,MLO,317.0
1960,3,5,7,0,MLO,316.9
1960,3,12,7,0,MLO,317.7
1960,3,19,4,0,MLO,318.0
1960,3,26,6,0,MLO,317.7
1960,4,2,5,0,MLO,318.6
1960,4,9,3,0,MLO,319.3
1960,4,16,7,0,MLO,319.0
1960,4,23,7,0,MLO,319.0
1960,4,30,1,0,MLO,319.7
1960,5,7,6,0,MLO,319.9
1960,5,14,5,0,MLO,319.8
1960,5,21,6,0,MLO,320.0
1960,5,28,7,0,MLO,320.0
1960,6,4,3,0,MLO,319.4
1960,6,11,5,0,MLO,320.0
1960,6,18,3,0,MLO,319.4
1960,6,25,2,0,MLO,319.0
1960,7,2,5,0,MLO,318.1
1960,7,9,4,0,MLO,318.6
1960,7,16,5,0,MLO,318.4
1960,7,23,6,0,MLO,317.9
1960,7,30,5,0,MLO,317.3
1960,8,6,3,0,MLO,316.6
1960,8,13,6,0,MLO,316.7
1960,8,20,5,0,MLO,315.1
1960,8,27,5,0,MLO,314.7
1960,9,3,7,0,MLO,314.7
